CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT
0.38735,0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,27.26
0.00906,90,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,7.85
1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,20.34
18.811,0,18.1,0,0.597,4.628,100,1.5539,24,666,20.2,34.37
9.82349,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,21.24
8.79212,0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,17.16
0.57529,0,6.2,0,0.507,8.337,73.3,3.8384,8,307,17.4,2.47
0.32982,0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,15.03
1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,18.35
5.73116,0,18.1,0,0.532,7.061,77,3.4106,24,666,20.2,7.01
0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,9.55
0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,14.44
0.0315,95,1.47,0,0.403,6.975,15.3,7.6534,3,402,17,4.56
0.16211,20,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,6.59
0.04297,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293,16.6,9.51
0.11069,0,13.89,1,0.55,5.951,93.8,2.8893,5,276,16.4,17.92
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,7.54
0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,9.68
12.8023,0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,23.79
1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,11.98
4.55587,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,7.12
0.03113,0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,10.53
8.20058,0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,16.94
0.07013,0,13.89,0,0.55,6.642,85.1,3.4211,5,276,16.4,9.69
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,17.28
4.42228,0,18.1,0,0.584,6.003,94.5,2.5403,24,666,20.2,21.32
0.12932,0,13.92,0,0.437,6.678,31.1,5.9604,4,289,16,6.27
2.44668,0,19.58,0,0.871,5.272,94,1.7364,5,403,14.7,16.14
0.05497,0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,9.74
9.18702,0,18.1,0,0.7,5.536,100,1.5804,24,666,20.2,23.6
0.2498,0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,21.32
0.21719,0,10.59,1,0.489,5.807,53.8,3.6526,4,277,18.6,16.03
0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,12.33
0.04301,80,1.91,0,0.413,5.663,21.9,10.5857,4,334,22,8.05
0.06211,40,1.25,0,0.429,6.49,44.4,8.7921,1,335,19.7,5.98
0.10659,80,1.91,0,0.413,5.936,19.5,10.5857,4,334,22,5.57
0.19802,0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,9.47
9.39063,0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,22.88
0.0837,45,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,5.39
0.28955,0,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,29.55
0.02009,95,2.68,0,0.4161,8.034,31.9,5.118,4,224,14.7,2.88
0.44791,0,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,8.05
0.65665,20,3.97,0,0.647,6.842,100,2.0107,5,264,13,6.9
0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,8.1
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,16.3
0.0456,0,13.89,1,0.55,5.888,56,3.1121,5,276,16.4,13.51
0.6147,0,6.2,0,0.507,6.618,80.8,3.2721,8,307,17.4,7.6
0.88125,0,21.89,0,0.624,5.637,94.7,1.9799,4,437,21.2,18.34
0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,10.16
2.01019,0,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,3.7
12.0482,0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,14.1
9.91655,0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,29.97
0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,1.98
0.05644,40,6.41,1,0.447,6.758,32.9,4.0776,4,254,17.6,3.53
3.83684,0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,14.19
0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,9.1
0.31827,0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,18.33
0.40202,0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,10.36
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,8.26
0.03871,52.5,5.32,0,0.405,6.209,31.3,7.3172,6,293,16.6,7.14
45.7461,0,18.1,0,0.693,4.519,100,1.6582,24,666,20.2,36.98
0.22438,0,9.69,0,0.585,6.027,79.7,2.4982,6,391,19.2,14.33
0.29819,0,6.2,0,0.504,7.686,17,3.3751,8,307,17.4,3.92
1.46336,0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,1.73
0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,7.51
0.06076,0,11.93,0,0.573,6.976,91,2.1675,1,273,21,5.64
14.3337,0,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,13.11
0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,13
2.73397,0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,21.45
1.12658,0,19.58,1,0.871,5.012,88,1.6102,5,403,14.7,12.12
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,6.58
0.02543,55,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,7.18
0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,15.55
20.7162,0,18.1,0,0.659,4.138,100,1.1781,24,666,20.2,23.34
0.54452,0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,18.46
0.51183,0,6.2,0,0.507,7.358,71.6,4.148,8,307,17.4,4.73
0.54011,20,3.97,0,0.647,7.203,81.8,2.1121,5,264,13,9.59
3.67822,0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,10.19
0.24522,0,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,15.94
0.06263,0,11.93,0,0.573,6.593,69.1,2.4786,1,273,21,9.67
67.9208,0,18.1,0,0.693,5.683,100,1.4254,24,666,20.2,22.98
0.16439,22,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,9.52
0.03466,35,6.06,0,0.4379,6.031,23.3,6.6407,1,304,16.9,7.83
6.96215,0,18.1,0,0.7,5.713,97,1.9265,24,666,20.2,17.11
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,11.28
0.06617,0,3.24,0,0.46,5.868,25.8,5.2146,4,430,16.9,9.97
0.05372,0,13.92,0,0.437,6.549,51,5.9604,4,289,16,7.39
0.09065,20,6.96,1,0.464,5.92,61.5,3.9175,3,223,18.6,13.65
0.38214,0,6.2,0,0.504,8.04,86.5,3.2157,8,307,17.4,3.13
13.9134,0,18.1,0,0.713,6.208,95,2.2222,24,666,20.2,15.17
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,2.94
0.01709,90,2.02,0,0.41,6.728,36.1,12.1265,5,187,17,4.5
0.16902,0,25.65,0,0.581,5.986,88.4,1.9929,2,188,19.1,14.81
0.03578,20,3.33,0,0.4429,7.82,64.5,4.6947,5,216,14.9,3.76
0.01965,80,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,12.93
0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,10.27
0.08308,0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,13.98
88.9762,0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,17.21
2.81838,0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,10.42
0.09604,40,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,2.98
0.08199,0,13.92,0,0.437,6.009,42.3,5.5027,4,289,16,10.4
5.66637,0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,16.59
0.09103,0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,4.82
8.24809,0,18.1,0,0.713,7.393,99.3,2.4527,24,666,20.2,16.74
0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,5.29
0.04932,33,2.18,0,0.472,6.849,70.3,3.1827,7,222,18.4,7.53
0.66351,20,3.97,0,0.647,7.333,100,1.8946,5,264,13,7.79
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,13.27
19.6091,0,18.1,0,0.671,7.313,97.9,1.3163,24,666,20.2,13.44
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,12.86
0.7857,20,3.97,0,0.647,7.014,84.6,2.1329,5,264,13,14.79
0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,11.41
5.69175,0,18.1,0,0.583,6.114,79.8,3.5459,24,666,20.2,14.98
0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,6.86
0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,4.84
0.29916,20,6.96,0,0.464,5.856,42.1,4.429,3,223,18.6,13
0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,13.45
0.43571,0,10.59,1,0.489,5.344,100,3.875,4,277,18.6,23.09
9.59571,0,18.1,0,0.693,6.404,100,1.639,24,666,20.2,20.31
14.2362,0,18.1,0,0.693,6.343,100,1.5741,24,666,20.2,20.32
7.02259,0,18.1,0,0.718,6.006,95.3,1.8746,24,666,20.2,15.7
0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,25.41
0.62356,0,6.2,1,0.507,6.879,77.7,3.2721,8,307,17.4,9.93
0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,6.73
15.8744,0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,21.08
0.34006,0,21.89,0,0.624,6.458,98.9,2.1185,4,437,21.2,12.6
0.07875,45,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,6.68
0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,19.88
0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,7.44
9.92485,0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,16.44
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,4.98
0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,7.43
4.89822,0,18.1,0,0.631,4.97,100,1.3325,24,666,20.2,3.26
6.44405,0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,12.03
0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,3.57
0.02899,40,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,5.89
0.05515,33,2.18,0,0.472,7.236,41.1,4.022,7,222,18.4,6.93
0.17331,0,9.69,0,0.585,5.707,54,2.3817,6,391,19.2,12.01
0.06642,0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,6.92
5.66998,0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,3.73
0.01538,90,3.75,0,0.394,7.454,34.2,6.3361,3,244,15.9,3.11
0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,10.59
4.03841,0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,12.87
0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,6.65
15.5757,0,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,18.13
2.44953,0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,11.32
0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,8.79
0.05479,33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,8.93
0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,30.81
0.01301,35,1.52,0,0.442,7.241,49.3,7.0379,1,284,15.5,5.49
11.1081,0,18.1,0,0.668,4.906,100,1.1742,24,666,20.2,34.77
7.67202,0,18.1,0,0.693,5.747,98.9,1.6334,24,666,20.2,19.92
0.25199,0,10.59,0,0.489,5.783,72.7,4.3549,4,277,18.6,18.06
0.21038,20,3.33,0,0.4429,6.812,32.2,4.1007,5,216,14.9,4.85
0.41238,0,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,6.36
2.33099,0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,28.32
4.0974,0,19.58,0,0.871,5.468,100,1.4118,5,403,14.7,26.42
0.03738,0,5.19,0,0.515,6.31,38.5,6.4584,5,224,20.2,6.75
0.06588,0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,7.56
8.98296,0,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,17.6
1.19294,0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,12.26
9.51363,0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,18.71
0.10959,0,11.93,0,0.573,6.794,89.3,2.3889,1,273,21,6.48
0.52014,20,3.97,0,0.647,8.398,91.5,2.2885,5,264,13,5.91
0.34109,0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,6.12
0.0351,95,2.68,0,0.4161,7.853,33.2,5.118,4,224,14.7,3.81
0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,9.62
0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,14.27
0.15086,0,27.74,0,0.609,5.454,92.7,1.8209,4,711,20.1,18.06
22.0511,0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,22.11
3.77498,0,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,17.15
4.81213,0,18.1,0,0.713,6.701,90,2.5975,24,666,20.2,16.42
20.0849,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,30.63
0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,8.2
0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,6.72
0.57834,20,3.97,0,0.575,8.297,67,2.4216,5,264,13,7.44
0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,13.61
5.20177,0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,11.48
0.07886,80,4.95,0,0.411,7.148,27.7,5.1167,4,245,19.2,3.56
0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,3.95
15.8603,0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,24.39
0.18159,0,7.38,0,0.493,6.376,54.3,4.5404,5,287,19.6,6.87
0.61154,20,3.97,0,0.647,8.704,86.9,1.801,5,264,13,5.12
15.288,0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,23.24
5.09017,0,18.1,0,0.713,6.297,91.8,2.3682,24,666,20.2,17.27
0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,5.81
0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,16.47
14.3337,0,18.1,0,0.7,4.88,100,1.5895,24,666,20.2,30.62
4.34879,0,18.1,0,0.58,6.167,84,3.0334,24,666,20.2,16.29
0.22188,20,6.96,1,0.464,7.691,51.8,4.3665,3,223,18.6,6.58
6.71772,0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,17.44
0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,10.13
8.15174,0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,20.85
0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,8.43
11.0874,0,18.1,0,0.718,6.411,100,1.8589,24,666,20.2,15.02
9.96654,0,18.1,0,0.74,6.485,100,1.9784,24,666,20.2,18.85
0.32543,0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,15.39
0.03502,80,4.95,0,0.411,6.861,27.9,5.1167,4,245,19.2,3.33
0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,12.8
0.10008,0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,5.68
6.53876,0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96
1.51902,0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,3.32
1.49632,0,19.58,0,0.871,5.404,100,1.5916,5,403,14.7,13.28
0.20608,22,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,12.5
0.02177,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,3.11
1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,13.04
1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,27.71
0.25915,0,21.89,0,0.624,5.693,96,1.7883,4,437,21.2,17.19
0.06047,0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,13.15
4.87141,0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,18.68
7.52601,0,18.1,0,0.713,6.417,98.3,2.185,24,666,20.2,19.31
0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293,16.6,7.6
7.05042,0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,23.29
38.3518,0,18.1,0,0.693,5.453,100,1.4896,24,666,20.2,30.59
6.65492,0,18.1,0,0.713,6.317,83,2.7344,24,666,20.2,13.99
2.36862,0,19.58,0,0.871,4.926,95.7,1.4608,5,403,14.7,29.53
